batch.name,treatment,control
f23.PHLC164.TPX.cisplatin,"f23.PHLC164.TPX.cisplatin.P1,f23.PHLC164.TPX.cisplatin.P11,f23.PHLC164.TPX.cisplatin.P12,f23.PHLC164.TPX.cisplatin.P17,f23.PHLC164.TPX.cisplatin.P3,f23.PHLC164.TPX.cisplatin.P8","f23.PHLC164.TPX.control.P14,f23.PHLC164.TPX.control.P16,f23.PHLC164.TPX.control.P25,f23.PHLC164.TPX.control.P26,f23.PHLC164.TPX.control.P28,f23.PHLC164.TPX.control.P7"
f23.PHLC164.TPX.dacomitinib,"f23.PHLC164.TPX.dacomitinib.P18,f23.PHLC164.TPX.dacomitinib.P19,f23.PHLC164.TPX.dacomitinib.P2,f23.PHLC164.TPX.dacomitinib.P27,f23.PHLC164.TPX.dacomitinib.P5,f23.PHLC164.TPX.dacomitinib.P9","f23.PHLC164.TPX.control.P14,f23.PHLC164.TPX.control.P16,f23.PHLC164.TPX.control.P25,f23.PHLC164.TPX.control.P26,f23.PHLC164.TPX.control.P28,f23.PHLC164.TPX.control.P7"
f23.PHLC164.TPX.gemcitabine,"f23.PHLC164.TPX.gemcitabine.P13,f23.PHLC164.TPX.gemcitabine.P15,f23.PHLC164.TPX.gemcitabine.P21,f23.PHLC164.TPX.gemcitabine.P22,f23.PHLC164.TPX.gemcitabine.P23,f23.PHLC164.TPX.gemcitabine.P29","f23.PHLC164.TPX.control.P14,f23.PHLC164.TPX.control.P16,f23.PHLC164.TPX.control.P25,f23.PHLC164.TPX.control.P26,f23.PHLC164.TPX.control.P28,f23.PHLC164.TPX.control.P7"
f23.PHLC164.TPX.vinorelbine,"f23.PHLC164.TPX.vinorelbine.P10,f23.PHLC164.TPX.vinorelbine.P20,f23.PHLC164.TPX.vinorelbine.P24,f23.PHLC164.TPX.vinorelbine.P30,f23.PHLC164.TPX.vinorelbine.P4,f23.PHLC164.TPX.vinorelbine.P6","f23.PHLC164.TPX.control.P14,f23.PHLC164.TPX.control.P16,f23.PHLC164.TPX.control.P25,f23.PHLC164.TPX.control.P26,f23.PHLC164.TPX.control.P28,f23.PHLC164.TPX.control.P7"
f24.PHLC164.TPX.dacomitinib,"f24.PHLC164.TPX.dacomitinib.P11,f24.PHLC164.TPX.dacomitinib.P12,f24.PHLC164.TPX.dacomitinib.P13,f24.PHLC164.TPX.dacomitinib.P14,f24.PHLC164.TPX.dacomitinib.P2,f24.PHLC164.TPX.dacomitinib.P3,f24.PHLC164.TPX.dacomitinib.P4,f24.PHLC164.TPX.dacomitinib.P6","f24.PHLC164.TPX.control.P1,f24.PHLC164.TPX.control.P10,f24.PHLC164.TPX.control.P15,f24.PHLC164.TPX.control.P5,f24.PHLC164.TPX.control.P7,f24.PHLC164.TPX.control.P8,f24.PHLC164.TPX.control.P9"
f25.PHLC164.TPX.dacomitinib,"f25.PHLC164.TPX.dacomitinib.P801,f25.PHLC164.TPX.dacomitinib.P802,f25.PHLC164.TPX.dacomitinib.P803,f25.PHLC164.TPX.dacomitinib.P809,f25.PHLC164.TPX.dacomitinib.P810,f25.PHLC164.TPX.dacomitinib.P811,f25.PHLC164.TPX.dacomitinib.P814,f25.PHLC164.TPX.dacomitinib.P815,f25.PHLC164.TPX.dacomitinib.P816,f25.PHLC164.TPX.dacomitinib.P819","f25.PHLC164.TPX.control.P804,f25.PHLC164.TPX.control.P805,f25.PHLC164.TPX.control.P806,f25.PHLC164.TPX.control.P807,f25.PHLC164.TPX.control.P808,f25.PHLC164.TPX.control.P812,f25.PHLC164.TPX.control.P813,f25.PHLC164.TPX.control.P817,f25.PHLC164.TPX.control.P818,f25.PHLC164.TPX.control.P820"
f26.PHLC164.TPX.afatinib,"f26.PHLC164.TPX.afatinib.P902,f26.PHLC164.TPX.afatinib.P903,f26.PHLC164.TPX.afatinib.P906,f26.PHLC164.TPX.afatinib.P908,f26.PHLC164.TPX.afatinib.P911,f26.PHLC164.TPX.afatinib.P915,f26.PHLC164.TPX.afatinib.P917,f26.PHLC164.TPX.afatinib.P921,f26.PHLC164.TPX.afatinib.P922,f26.PHLC164.TPX.afatinib.P923,f26.PHLC164.TPX.afatinib.P927,f26.PHLC164.TPX.afatinib.P928,f26.PHLC164.TPX.afatinib.P929,f26.PHLC164.TPX.afatinib.P930,f26.PHLC164.TPX.afatinib.P932,f26.PHLC164.TPX.afatinib.P935,f26.PHLC164.TPX.afatinib.P937,f26.PHLC164.TPX.afatinib.P938,f26.PHLC164.TPX.afatinib.P939,f26.PHLC164.TPX.afatinib.P940","f26.PHLC164.TPX.control.P907,f26.PHLC164.TPX.control.P909,f26.PHLC164.TPX.control.P910,f26.PHLC164.TPX.control.P912,f26.PHLC164.TPX.control.P913,f26.PHLC164.TPX.control.P916,f26.PHLC164.TPX.control.P918,f26.PHLC164.TPX.control.P925,f26.PHLC164.TPX.control.P936"
f27.PHLC169.TPX.dacomitinib,"f27.PHLC169.TPX.dacomitinib.P704,f27.PHLC169.TPX.dacomitinib.P705,f27.PHLC169.TPX.dacomitinib.P707,f27.PHLC169.TPX.dacomitinib.P708,f27.PHLC169.TPX.dacomitinib.P709,f27.PHLC169.TPX.dacomitinib.P710","f27.PHLC169.TPX.control.P701,f27.PHLC169.TPX.control.P702,f27.PHLC169.TPX.control.P703,f27.PHLC169.TPX.control.P706,f27.PHLC169.TPX.control.P711,f27.PHLC169.TPX.control.P712"
f28.PHLC192.TPX.erlotinib,"f28.PHLC192.TPX.erlotinib.P802,f28.PHLC192.TPX.erlotinib.P804,f28.PHLC192.TPX.erlotinib.P805,f28.PHLC192.TPX.erlotinib.P808,f28.PHLC192.TPX.erlotinib.P810,f28.PHLC192.TPX.erlotinib.P811","f28.PHLC192.TPX.control.P801,f28.PHLC192.TPX.control.P803,f28.PHLC192.TPX.control.P806,f28.PHLC192.TPX.control.P807,f28.PHLC192.TPX.control.P809,f28.PHLC192.TPX.control.P812"
f29.PHLC192.TPX.afatinib,"f29.PHLC192.TPX.afatinib.P1002,f29.PHLC192.TPX.afatinib.P1003,f29.PHLC192.TPX.afatinib.P1008,f29.PHLC192.TPX.afatinib.P1018,f29.PHLC192.TPX.afatinib.P1021,f29.PHLC192.TPX.afatinib.P1028","f29.PHLC192.TPX.control.P1005,f29.PHLC192.TPX.control.P1007,f29.PHLC192.TPX.control.P1010,f29.PHLC192.TPX.control.P1012,f29.PHLC192.TPX.control.P1017,f29.PHLC192.TPX.control.P1029"
f29.PHLC192.TPX.cetuximab,"f29.PHLC192.TPX.cetuximab.P1004,f29.PHLC192.TPX.cetuximab.P1011,f29.PHLC192.TPX.cetuximab.P1013,f29.PHLC192.TPX.cetuximab.P1019,f29.PHLC192.TPX.cetuximab.P1024,f29.PHLC192.TPX.cetuximab.P1030","f29.PHLC192.TPX.control.P1005,f29.PHLC192.TPX.control.P1007,f29.PHLC192.TPX.control.P1010,f29.PHLC192.TPX.control.P1012,f29.PHLC192.TPX.control.P1017,f29.PHLC192.TPX.control.P1029"
f29.PHLC192.TPX.crizotinib,"f29.PHLC192.TPX.crizotinib.P1009,f29.PHLC192.TPX.crizotinib.P1026,f29.PHLC192.TPX.crizotinib.P1027,f29.PHLC192.TPX.crizotinib.P1035,f29.PHLC192.TPX.crizotinib.P1038,f29.PHLC192.TPX.crizotinib.P1039","f29.PHLC192.TPX.control.P1005,f29.PHLC192.TPX.control.P1007,f29.PHLC192.TPX.control.P1010,f29.PHLC192.TPX.control.P1012,f29.PHLC192.TPX.control.P1017,f29.PHLC192.TPX.control.P1029"
f29.PHLC192.TPX.dacomitinib,"f29.PHLC192.TPX.dacomitinib.P1014,f29.PHLC192.TPX.dacomitinib.P1015,f29.PHLC192.TPX.dacomitinib.P1016,f29.PHLC192.TPX.dacomitinib.P1031,f29.PHLC192.TPX.dacomitinib.P1032,f29.PHLC192.TPX.dacomitinib.P1034","f29.PHLC192.TPX.control.P1005,f29.PHLC192.TPX.control.P1007,f29.PHLC192.TPX.control.P1010,f29.PHLC192.TPX.control.P1012,f29.PHLC192.TPX.control.P1017,f29.PHLC192.TPX.control.P1029"
f29.PHLC192.TPX.erlotinib,"f29.PHLC192.TPX.erlotinib.P1006,f29.PHLC192.TPX.erlotinib.P1025,f29.PHLC192.TPX.erlotinib.P1036,f29.PHLC192.TPX.erlotinib.P1037,f29.PHLC192.TPX.erlotinib.P1040","f29.PHLC192.TPX.control.P1005,f29.PHLC192.TPX.control.P1007,f29.PHLC192.TPX.control.P1010,f29.PHLC192.TPX.control.P1012,f29.PHLC192.TPX.control.P1017,f29.PHLC192.TPX.control.P1029"
f29.PHLC192.TPX.erlotinib+crizotinib,"f29.PHLC192.TPX.erlotinib+crizotinib.P1001,f29.PHLC192.TPX.erlotinib+crizotinib.P1020,f29.PHLC192.TPX.erlotinib+crizotinib.P1022,f29.PHLC192.TPX.erlotinib+crizotinib.P1023,f29.PHLC192.TPX.erlotinib+crizotinib.P1033","f29.PHLC192.TPX.control.P1005,f29.PHLC192.TPX.control.P1007,f29.PHLC192.TPX.control.P1010,f29.PHLC192.TPX.control.P1012,f29.PHLC192.TPX.control.P1017,f29.PHLC192.TPX.control.P1029"
f30.PHLC200.TPX.BGJ398,"f30.PHLC200.TPX.BGJ398.P606,f30.PHLC200.TPX.BGJ398.P609,f30.PHLC200.TPX.BGJ398.P614,f30.PHLC200.TPX.BGJ398.P616,f30.PHLC200.TPX.BGJ398.P621,f30.PHLC200.TPX.BGJ398.P622","f30.PHLC200.TPX.control.P603,f30.PHLC200.TPX.control.P608,f30.PHLC200.TPX.control.P611,f30.PHLC200.TPX.control.P615,f30.PHLC200.TPX.control.P620,f30.PHLC200.TPX.control.P623"
f31.PHLC200.TPX.BGJ398,"f31.PHLC200.TPX.BGJ398.P701,f31.PHLC200.TPX.BGJ398.P703,f31.PHLC200.TPX.BGJ398.P709,f31.PHLC200.TPX.BGJ398.P711,f31.PHLC200.TPX.BGJ398.P720,f31.PHLC200.TPX.BGJ398.P722","f31.PHLC200.TPX.control.P702,f31.PHLC200.TPX.control.P707,f31.PHLC200.TPX.control.P710,f31.PHLC200.TPX.control.P717,f31.PHLC200.TPX.control.P724,f31.PHLC200.TPX.control.P725"
f31.PHLC200.TPX.BGJ398+crizotinib,"f31.PHLC200.TPX.BGJ398+crizotinib.P705,f31.PHLC200.TPX.BGJ398+crizotinib.P708,f31.PHLC200.TPX.BGJ398+crizotinib.P716,f31.PHLC200.TPX.BGJ398+crizotinib.P718,f31.PHLC200.TPX.BGJ398+crizotinib.P719,f31.PHLC200.TPX.BGJ398+crizotinib.P721","f31.PHLC200.TPX.control.P702,f31.PHLC200.TPX.control.P707,f31.PHLC200.TPX.control.P710,f31.PHLC200.TPX.control.P717,f31.PHLC200.TPX.control.P724,f31.PHLC200.TPX.control.P725"
f31.PHLC200.TPX.crizotinib,"f31.PHLC200.TPX.crizotinib.P704,f31.PHLC200.TPX.crizotinib.P706,f31.PHLC200.TPX.crizotinib.P713,f31.PHLC200.TPX.crizotinib.P714,f31.PHLC200.TPX.crizotinib.P715,f31.PHLC200.TPX.crizotinib.P723","f31.PHLC200.TPX.control.P702,f31.PHLC200.TPX.control.P707,f31.PHLC200.TPX.control.P710,f31.PHLC200.TPX.control.P717,f31.PHLC200.TPX.control.P724,f31.PHLC200.TPX.control.P725"
f32.PHLC267.TPX.BGJ398,"f32.PHLC267.TPX.BGJ398.P712,f32.PHLC267.TPX.BGJ398.P715,f32.PHLC267.TPX.BGJ398.P716,f32.PHLC267.TPX.BGJ398.P720,f32.PHLC267.TPX.BGJ398.P722,f32.PHLC267.TPX.BGJ398.P723","f32.PHLC267.TPX.control.P702,f32.PHLC267.TPX.control.P709,f32.PHLC267.TPX.control.P710,f32.PHLC267.TPX.control.P713,f32.PHLC267.TPX.control.P717,f32.PHLC267.TPX.control.P725"
f33.PHLC274.TPX.BGJ398,"f33.PHLC274.TPX.BGJ398.P603,f33.PHLC274.TPX.BGJ398.P605,f33.PHLC274.TPX.BGJ398.P607,f33.PHLC274.TPX.BGJ398.P611,f33.PHLC274.TPX.BGJ398.P612,f33.PHLC274.TPX.BGJ398.P620","f33.PHLC274.TPX.control.P606,f33.PHLC274.TPX.control.P608,f33.PHLC274.TPX.control.P613,f33.PHLC274.TPX.control.P614,f33.PHLC274.TPX.control.P618"
f34.PHLC274.TPX.AZD4547,"f34.PHLC274.TPX.AZD4547.P705,f34.PHLC274.TPX.AZD4547.P710,f34.PHLC274.TPX.AZD4547.P714,f34.PHLC274.TPX.AZD4547.P725,f34.PHLC274.TPX.AZD4547.P728,f34.PHLC274.TPX.AZD4547.P732","f34.PHLC274.TPX.control.P719,f34.PHLC274.TPX.control.P720,f34.PHLC274.TPX.control.P727,f34.PHLC274.TPX.control.P733,f34.PHLC274.TPX.control.P734,f34.PHLC274.TPX.control.P735"
f34.PHLC274.TPX.BGJ398,"f34.PHLC274.TPX.BGJ398.P703,f34.PHLC274.TPX.BGJ398.P708,f34.PHLC274.TPX.BGJ398.P711,f34.PHLC274.TPX.BGJ398.P722,f34.PHLC274.TPX.BGJ398.P723,f34.PHLC274.TPX.BGJ398.P726","f34.PHLC274.TPX.control.P719,f34.PHLC274.TPX.control.P720,f34.PHLC274.TPX.control.P727,f34.PHLC274.TPX.control.P733,f34.PHLC274.TPX.control.P734,f34.PHLC274.TPX.control.P735"
f35.PHLC299.TPX.BGJ398,"f35.PHLC299.TPX.BGJ398.P705,f35.PHLC299.TPX.BGJ398.P706,f35.PHLC299.TPX.BGJ398.P709,f35.PHLC299.TPX.BGJ398.P715,f35.PHLC299.TPX.BGJ398.P717,f35.PHLC299.TPX.BGJ398.P721","f35.PHLC299.TPX.control.P701,f35.PHLC299.TPX.control.P703,f35.PHLC299.TPX.control.P708,f35.PHLC299.TPX.control.P716,f35.PHLC299.TPX.control.P718,f35.PHLC299.TPX.control.P723"
f36.PHLC321.TPX.BGJ398,"f36.PHLC321.TPX.BGJ398.P503,f36.PHLC321.TPX.BGJ398.P505,f36.PHLC321.TPX.BGJ398.P506,f36.PHLC321.TPX.BGJ398.P515,f36.PHLC321.TPX.BGJ398.P516,f36.PHLC321.TPX.BGJ398.P523","f36.PHLC321.TPX.control.P511,f36.PHLC321.TPX.control.P512,f36.PHLC321.TPX.control.P513,f36.PHLC321.TPX.control.P519,f36.PHLC321.TPX.control.P522,f36.PHLC321.TPX.control.P524"
f37.PHLC321.TPX.BGJ398,"f37.PHLC321.TPX.BGJ398.P801,f37.PHLC321.TPX.BGJ398.P802,f37.PHLC321.TPX.BGJ398.P821,f37.PHLC321.TPX.BGJ398.P823,f37.PHLC321.TPX.BGJ398.P824,f37.PHLC321.TPX.BGJ398.P825","f37.PHLC321.TPX.control.P806,f37.PHLC321.TPX.control.P807,f37.PHLC321.TPX.control.P815,f37.PHLC321.TPX.control.P816,f37.PHLC321.TPX.control.P817,f37.PHLC321.TPX.control.P819"
f37.PHLC321.TPX.BGJ398+crizotinib,"f37.PHLC321.TPX.BGJ398+crizotinib.P804,f37.PHLC321.TPX.BGJ398+crizotinib.P810,f37.PHLC321.TPX.BGJ398+crizotinib.P811,f37.PHLC321.TPX.BGJ398+crizotinib.P812,f37.PHLC321.TPX.BGJ398+crizotinib.P814,f37.PHLC321.TPX.BGJ398+crizotinib.P820","f37.PHLC321.TPX.control.P806,f37.PHLC321.TPX.control.P807,f37.PHLC321.TPX.control.P815,f37.PHLC321.TPX.control.P816,f37.PHLC321.TPX.control.P817,f37.PHLC321.TPX.control.P819"
f37.PHLC321.TPX.crizotinib,"f37.PHLC321.TPX.crizotinib.P803,f37.PHLC321.TPX.crizotinib.P808,f37.PHLC321.TPX.crizotinib.P809,f37.PHLC321.TPX.crizotinib.P813,f37.PHLC321.TPX.crizotinib.P818,f37.PHLC321.TPX.crizotinib.P822","f37.PHLC321.TPX.control.P806,f37.PHLC321.TPX.control.P807,f37.PHLC321.TPX.control.P815,f37.PHLC321.TPX.control.P816,f37.PHLC321.TPX.control.P817,f37.PHLC321.TPX.control.P819"
f38.PHLC321.TPX.BGJ398,"f38.PHLC321.TPX.BGJ398.P901,f38.PHLC321.TPX.BGJ398.P909,f38.PHLC321.TPX.BGJ398.P912,f38.PHLC321.TPX.BGJ398.P916,f38.PHLC321.TPX.BGJ398.P919,f38.PHLC321.TPX.BGJ398.P921","f38.PHLC321.TPX.control.P908,f38.PHLC321.TPX.control.P911,f38.PHLC321.TPX.control.P913,f38.PHLC321.TPX.control.P915,f38.PHLC321.TPX.control.P917,f38.PHLC321.TPX.control.P922"
f38.PHLC321.TPX.BGJ398+crizotinib,"f38.PHLC321.TPX.BGJ398+crizotinib.P903,f38.PHLC321.TPX.BGJ398+crizotinib.P904,f38.PHLC321.TPX.BGJ398+crizotinib.P918,f38.PHLC321.TPX.BGJ398+crizotinib.P920,f38.PHLC321.TPX.BGJ398+crizotinib.P923,f38.PHLC321.TPX.BGJ398+crizotinib.P924","f38.PHLC321.TPX.control.P908,f38.PHLC321.TPX.control.P911,f38.PHLC321.TPX.control.P913,f38.PHLC321.TPX.control.P915,f38.PHLC321.TPX.control.P917,f38.PHLC321.TPX.control.P922"
f38.PHLC321.TPX.crizotinib,"f38.PHLC321.TPX.crizotinib.P902,f38.PHLC321.TPX.crizotinib.P905,f38.PHLC321.TPX.crizotinib.P906,f38.PHLC321.TPX.crizotinib.P910,f38.PHLC321.TPX.crizotinib.P914,f38.PHLC321.TPX.crizotinib.P925","f38.PHLC321.TPX.control.P908,f38.PHLC321.TPX.control.P911,f38.PHLC321.TPX.control.P913,f38.PHLC321.TPX.control.P915,f38.PHLC321.TPX.control.P917,f38.PHLC321.TPX.control.P922"
f39.PHLC321.TPX.AZD4547,"f39.PHLC321.TPX.AZD4547.P1001,f39.PHLC321.TPX.AZD4547.P1006,f39.PHLC321.TPX.AZD4547.P1007,f39.PHLC321.TPX.AZD4547.P1008,f39.PHLC321.TPX.AZD4547.P1010,f39.PHLC321.TPX.AZD4547.P1011","f39.PHLC321.TPX.control.P1002,f39.PHLC321.TPX.control.P1003,f39.PHLC321.TPX.control.P1004,f39.PHLC321.TPX.control.P1005,f39.PHLC321.TPX.control.P1009,f39.PHLC321.TPX.control.P1012"
f40.PHLC110.TPX.cisplatin+vinorelbine,"f40.PHLC110.TPX.cisplatin+vinorelbine.P502,f40.PHLC110.TPX.cisplatin+vinorelbine.P503,f40.PHLC110.TPX.cisplatin+vinorelbine.P505,f40.PHLC110.TPX.cisplatin+vinorelbine.P509,f40.PHLC110.TPX.cisplatin+vinorelbine.P510,f40.PHLC110.TPX.cisplatin+vinorelbine.P512","f40.PHLC110.TPX.control.P501,f40.PHLC110.TPX.control.P504,f40.PHLC110.TPX.control.P506,f40.PHLC110.TPX.control.P507,f40.PHLC110.TPX.control.P508,f40.PHLC110.TPX.control.P511"
f41.PHLC111.TPX.cisplatin+vinorelbine,"f41.PHLC111.TPX.cisplatin+vinorelbine.P702,f41.PHLC111.TPX.cisplatin+vinorelbine.P704,f41.PHLC111.TPX.cisplatin+vinorelbine.P705,f41.PHLC111.TPX.cisplatin+vinorelbine.P707,f41.PHLC111.TPX.cisplatin+vinorelbine.P710,f41.PHLC111.TPX.cisplatin+vinorelbine.P713","f41.PHLC111.TPX.control.P701,f41.PHLC111.TPX.control.P703,f41.PHLC111.TPX.control.P706,f41.PHLC111.TPX.control.P708,f41.PHLC111.TPX.control.P709,f41.PHLC111.TPX.control.P712"
f42.PHLC119.TPX.cisplatin+vinorelbine,"f42.PHLC119.TPX.cisplatin+vinorelbine.P501,f42.PHLC119.TPX.cisplatin+vinorelbine.P502,f42.PHLC119.TPX.cisplatin+vinorelbine.P506,f42.PHLC119.TPX.cisplatin+vinorelbine.P508,f42.PHLC119.TPX.cisplatin+vinorelbine.P509,f42.PHLC119.TPX.cisplatin+vinorelbine.P510","f42.PHLC119.TPX.control.P503,f42.PHLC119.TPX.control.P504,f42.PHLC119.TPX.control.P505,f42.PHLC119.TPX.control.P507,f42.PHLC119.TPX.control.P511,f42.PHLC119.TPX.control.P512"
f44.PHLC153.TPX.cisplatin+vinorelbine,"f44.PHLC153.TPX.cisplatin+vinorelbine.P602,f44.PHLC153.TPX.cisplatin+vinorelbine.P603,f44.PHLC153.TPX.cisplatin+vinorelbine.P606,f44.PHLC153.TPX.cisplatin+vinorelbine.P609,f44.PHLC153.TPX.cisplatin+vinorelbine.P611,f44.PHLC153.TPX.cisplatin+vinorelbine.P612","f44.PHLC153.TPX.control.P601,f44.PHLC153.TPX.control.P604,f44.PHLC153.TPX.control.P605,f44.PHLC153.TPX.control.P607,f44.PHLC153.TPX.control.P608,f44.PHLC153.TPX.control.P610"
f45.PHLC181.TPX.cisplatin+vinorelbine,"f45.PHLC181.TPX.cisplatin+vinorelbine.P601,f45.PHLC181.TPX.cisplatin+vinorelbine.P604,f45.PHLC181.TPX.cisplatin+vinorelbine.P605,f45.PHLC181.TPX.cisplatin+vinorelbine.P606,f45.PHLC181.TPX.cisplatin+vinorelbine.P608,f45.PHLC181.TPX.cisplatin+vinorelbine.P610","f45.PHLC181.TPX.control.P602,f45.PHLC181.TPX.control.P603,f45.PHLC181.TPX.control.P609,f45.PHLC181.TPX.control.P611,f45.PHLC181.TPX.control.P612"
f46.PHLC181.TPX.cisplatin+vinorelbine,"f46.PHLC181.TPX.cisplatin+vinorelbine.P703,f46.PHLC181.TPX.cisplatin+vinorelbine.P704,f46.PHLC181.TPX.cisplatin+vinorelbine.P706,f46.PHLC181.TPX.cisplatin+vinorelbine.P708,f46.PHLC181.TPX.cisplatin+vinorelbine.P711,f46.PHLC181.TPX.cisplatin+vinorelbine.P712","f46.PHLC181.TPX.control.P701,f46.PHLC181.TPX.control.P702,f46.PHLC181.TPX.control.P705,f46.PHLC181.TPX.control.P707,f46.PHLC181.TPX.control.P709,f46.PHLC181.TPX.control.P710"
f47.PHLC189.TPX.cisplatin+vinorelbine,"f47.PHLC189.TPX.cisplatin+vinorelbine.P502,f47.PHLC189.TPX.cisplatin+vinorelbine.P504,f47.PHLC189.TPX.cisplatin+vinorelbine.P506,f47.PHLC189.TPX.cisplatin+vinorelbine.P507,f47.PHLC189.TPX.cisplatin+vinorelbine.P509,f47.PHLC189.TPX.cisplatin+vinorelbine.P510,f47.PHLC189.TPX.cisplatin+vinorelbine.P514,f47.PHLC189.TPX.cisplatin+vinorelbine.P515","f47.PHLC189.TPX.control.P501,f47.PHLC189.TPX.control.P503,f47.PHLC189.TPX.control.P505,f47.PHLC189.TPX.control.P508,f47.PHLC189.TPX.control.P511,f47.PHLC189.TPX.control.P512,f47.PHLC189.TPX.control.P513"
f48.PHLC191.TPX.cisplatin+vinorelbine,"f48.PHLC191.TPX.cisplatin+vinorelbine.P702,f48.PHLC191.TPX.cisplatin+vinorelbine.P703,f48.PHLC191.TPX.cisplatin+vinorelbine.P705,f48.PHLC191.TPX.cisplatin+vinorelbine.P706,f48.PHLC191.TPX.cisplatin+vinorelbine.P709,f48.PHLC191.TPX.cisplatin+vinorelbine.P710,f48.PHLC191.TPX.cisplatin+vinorelbine.P711","f48.PHLC191.TPX.control.P701,f48.PHLC191.TPX.control.P704,f48.PHLC191.TPX.control.P707,f48.PHLC191.TPX.control.P708,f48.PHLC191.TPX.control.P712,f48.PHLC191.TPX.control.P713,f48.PHLC191.TPX.control.P714"
f49.PHLC119.TPX.cisplatin+vinorelbine,"f49.PHLC119.TPX.cisplatin+vinorelbine.P503,f49.PHLC119.TPX.cisplatin+vinorelbine.P504,f49.PHLC119.TPX.cisplatin+vinorelbine.P505,f49.PHLC119.TPX.cisplatin+vinorelbine.P506,f49.PHLC119.TPX.cisplatin+vinorelbine.P510,f49.PHLC119.TPX.cisplatin+vinorelbine.P512","f49.PHLC119.TPX.control.P501,f49.PHLC119.TPX.control.P502,f49.PHLC119.TPX.control.P507,f49.PHLC119.TPX.control.P508,f49.PHLC119.TPX.control.P509,f49.PHLC119.TPX.control.P511"
f50.PHLC196.TPX.cisplatin+vinorelbine,"f50.PHLC196.TPX.cisplatin+vinorelbine.P502,f50.PHLC196.TPX.cisplatin+vinorelbine.P503,f50.PHLC196.TPX.cisplatin+vinorelbine.P505,f50.PHLC196.TPX.cisplatin+vinorelbine.P508,f50.PHLC196.TPX.cisplatin+vinorelbine.P509,f50.PHLC196.TPX.cisplatin+vinorelbine.P512","f50.PHLC196.TPX.control.P501,f50.PHLC196.TPX.control.P504,f50.PHLC196.TPX.control.P506,f50.PHLC196.TPX.control.P507,f50.PHLC196.TPX.control.P510,f50.PHLC196.TPX.control.P511"
f51.PHLC215.TPX.cisplatin+vinorelbine,"f51.PHLC215.TPX.cisplatin+vinorelbine.P501,f51.PHLC215.TPX.cisplatin+vinorelbine.P504,f51.PHLC215.TPX.cisplatin+vinorelbine.P505,f51.PHLC215.TPX.cisplatin+vinorelbine.P506,f51.PHLC215.TPX.cisplatin+vinorelbine.P509,f51.PHLC215.TPX.cisplatin+vinorelbine.P510","f51.PHLC215.TPX.control.P502,f51.PHLC215.TPX.control.P503,f51.PHLC215.TPX.control.P507,f51.PHLC215.TPX.control.P508,f51.PHLC215.TPX.control.P511,f51.PHLC215.TPX.control.P512"
f52.PHLC229.TPX.cisplatin+vinorelbine,"f52.PHLC229.TPX.cisplatin+vinorelbine.P602,f52.PHLC229.TPX.cisplatin+vinorelbine.P603,f52.PHLC229.TPX.cisplatin+vinorelbine.P605,f52.PHLC229.TPX.cisplatin+vinorelbine.P606,f52.PHLC229.TPX.cisplatin+vinorelbine.P610,f52.PHLC229.TPX.cisplatin+vinorelbine.P612,f52.PHLC229.TPX.cisplatin+vinorelbine.P613","f52.PHLC229.TPX.control.P601,f52.PHLC229.TPX.control.P604,f52.PHLC229.TPX.control.P607,f52.PHLC229.TPX.control.P608,f52.PHLC229.TPX.control.P609,f52.PHLC229.TPX.control.P611,f52.PHLC229.TPX.control.P614"
f53.PHLC235.TPX.cisplatin+vinorelbine,"f53.PHLC235.TPX.cisplatin+vinorelbine.P405,f53.PHLC235.TPX.cisplatin+vinorelbine.P407,f53.PHLC235.TPX.cisplatin+vinorelbine.P408,f53.PHLC235.TPX.cisplatin+vinorelbine.P409,f53.PHLC235.TPX.cisplatin+vinorelbine.P410,f53.PHLC235.TPX.cisplatin+vinorelbine.P413","f53.PHLC235.TPX.control.P401,f53.PHLC235.TPX.control.P402,f53.PHLC235.TPX.control.P403,f53.PHLC235.TPX.control.P406,f53.PHLC235.TPX.control.P411,f53.PHLC235.TPX.control.P412"
f54.PHLC235.TPX.docetaxel,"f54.PHLC235.TPX.docetaxel.P601,f54.PHLC235.TPX.docetaxel.P620,f54.PHLC235.TPX.docetaxel.P625,f54.PHLC235.TPX.docetaxel.P626,f54.PHLC235.TPX.docetaxel.P629,f54.PHLC235.TPX.docetaxel.P630","f54.PHLC235.TPX.control.P605,f54.PHLC235.TPX.control.P609,f54.PHLC235.TPX.control.P610,f54.PHLC235.TPX.control.P615,f54.PHLC235.TPX.control.P619,f54.PHLC235.TPX.control.P621"
