batch.name,treatment,control
f10.PHLC148.TPX.erlotinib,"f10.PHLC148.TPX.erlotinib.P1102,f10.PHLC148.TPX.erlotinib.P1105,f10.PHLC148.TPX.erlotinib.P1112,f10.PHLC148.TPX.erlotinib.P1115,f10.PHLC148.TPX.erlotinib.P1118,f10.PHLC148.TPX.erlotinib.P1119,f10.PHLC148.TPX.erlotinib.P1122","f10.PHLC148.TPX.control.P1101,f10.PHLC148.TPX.control.P1104,f10.PHLC148.TPX.control.P1107,f10.PHLC148.TPX.control.P1113,f10.PHLC148.TPX.control.P1117,f10.PHLC148.TPX.control.P1126"
f10.PHLC148.TPX.erlotinib+crizotinib,"f10.PHLC148.TPX.erlotinib+crizotinib.P1103,f10.PHLC148.TPX.erlotinib+crizotinib.P1108,f10.PHLC148.TPX.erlotinib+crizotinib.P1111,f10.PHLC148.TPX.erlotinib+crizotinib.P1116,f10.PHLC148.TPX.erlotinib+crizotinib.P1124,f10.PHLC148.TPX.erlotinib+crizotinib.P1125,f10.PHLC148.TPX.erlotinib+crizotinib.P1127","f10.PHLC148.TPX.control.P1101,f10.PHLC148.TPX.control.P1104,f10.PHLC148.TPX.control.P1107,f10.PHLC148.TPX.control.P1113,f10.PHLC148.TPX.control.P1117,f10.PHLC148.TPX.control.P1126"
f11.PHLC148.TPX.dacomitinib,"f11.PHLC148.TPX.dacomitinib.P603,f11.PHLC148.TPX.dacomitinib.P605,f11.PHLC148.TPX.dacomitinib.P607,f11.PHLC148.TPX.dacomitinib.P613,f11.PHLC148.TPX.dacomitinib.P615,f11.PHLC148.TPX.dacomitinib.P617","f11.PHLC148.TPX.control.P601,f11.PHLC148.TPX.control.P602,f11.PHLC148.TPX.control.P606,f11.PHLC148.TPX.control.P608,f11.PHLC148.TPX.control.P609,f11.PHLC148.TPX.control.P614"
f11.PHLC148.TPX.erlotinib,"f11.PHLC148.TPX.erlotinib.P604,f11.PHLC148.TPX.erlotinib.P610,f11.PHLC148.TPX.erlotinib.P611,f11.PHLC148.TPX.erlotinib.P612,f11.PHLC148.TPX.erlotinib.P616,f11.PHLC148.TPX.erlotinib.P618","f11.PHLC148.TPX.control.P601,f11.PHLC148.TPX.control.P602,f11.PHLC148.TPX.control.P606,f11.PHLC148.TPX.control.P608,f11.PHLC148.TPX.control.P609,f11.PHLC148.TPX.control.P614"
f12.PHLC148.TPX.afatinib,"f12.PHLC148.TPX.afatinib.P805,f12.PHLC148.TPX.afatinib.P806,f12.PHLC148.TPX.afatinib.P811,f12.PHLC148.TPX.afatinib.P814,f12.PHLC148.TPX.afatinib.P815","f12.PHLC148.TPX.control.P801,f12.PHLC148.TPX.control.P803,f12.PHLC148.TPX.control.P804,f12.PHLC148.TPX.control.P808,f12.PHLC148.TPX.control.P810"
f12.PHLC148.TPX.cetuximab,"f12.PHLC148.TPX.cetuximab.P802,f12.PHLC148.TPX.cetuximab.P809,f12.PHLC148.TPX.cetuximab.P812,f12.PHLC148.TPX.cetuximab.P813,f12.PHLC148.TPX.cetuximab.P816","f12.PHLC148.TPX.control.P801,f12.PHLC148.TPX.control.P803,f12.PHLC148.TPX.control.P804,f12.PHLC148.TPX.control.P808,f12.PHLC148.TPX.control.P810"
f13.PHLC164.TPX.RO599,"f13.PHLC164.TPX.RO599.P103,f13.PHLC164.TPX.RO599.P115,f13.PHLC164.TPX.RO599.P121,f13.PHLC164.TPX.RO599.P161,f13.PHLC164.TPX.RO599.P162,f13.PHLC164.TPX.RO599.P171,f13.PHLC164.TPX.RO599.P184,f13.PHLC164.TPX.RO599.P185,f13.PHLC164.TPX.RO599.P24,f13.PHLC164.TPX.RO599.P61,f13.PHLC164.TPX.RO599.P62","f13.PHLC164.TPX.control.P102,f13.PHLC164.TPX.control.P11,f13.PHLC164.TPX.control.P111,f13.PHLC164.TPX.control.P122,f13.PHLC164.TPX.control.P123,f13.PHLC164.TPX.control.P131,f13.PHLC164.TPX.control.P135,f13.PHLC164.TPX.control.P145,f13.PHLC164.TPX.control.P154,f13.PHLC164.TPX.control.P172,f13.PHLC164.TPX.control.P175,f13.PHLC164.TPX.control.P194,f13.PHLC164.TPX.control.P52,f13.PHLC164.TPX.control.P53,f13.PHLC164.TPX.control.P75,f13.PHLC164.TPX.control.P81,f13.PHLC164.TPX.control.P82,f13.PHLC164.TPX.control.P84"
f13.PHLC164.TPX.cetuximab,"f13.PHLC164.TPX.cetuximab.P112,f13.PHLC164.TPX.cetuximab.P13,f13.PHLC164.TPX.cetuximab.P133,f13.PHLC164.TPX.cetuximab.P141,f13.PHLC164.TPX.cetuximab.P15,f13.PHLC164.TPX.cetuximab.P153,f13.PHLC164.TPX.cetuximab.P163,f13.PHLC164.TPX.cetuximab.P183,f13.PHLC164.TPX.cetuximab.P192,f13.PHLC164.TPX.cetuximab.P23,f13.PHLC164.TPX.cetuximab.P25,f13.PHLC164.TPX.cetuximab.P44,f13.PHLC164.TPX.cetuximab.P74","f13.PHLC164.TPX.control.P102,f13.PHLC164.TPX.control.P11,f13.PHLC164.TPX.control.P111,f13.PHLC164.TPX.control.P122,f13.PHLC164.TPX.control.P123,f13.PHLC164.TPX.control.P131,f13.PHLC164.TPX.control.P135,f13.PHLC164.TPX.control.P145,f13.PHLC164.TPX.control.P154,f13.PHLC164.TPX.control.P172,f13.PHLC164.TPX.control.P175,f13.PHLC164.TPX.control.P194,f13.PHLC164.TPX.control.P52,f13.PHLC164.TPX.control.P53,f13.PHLC164.TPX.control.P75,f13.PHLC164.TPX.control.P81,f13.PHLC164.TPX.control.P82,f13.PHLC164.TPX.control.P84"
f13.PHLC164.TPX.cetuximab+RO599,"f13.PHLC164.TPX.cetuximab+RO599.P113,f13.PHLC164.TPX.cetuximab+RO599.P114,f13.PHLC164.TPX.cetuximab+RO599.P124,f13.PHLC164.TPX.cetuximab+RO599.P165,f13.PHLC164.TPX.cetuximab+RO599.P173,f13.PHLC164.TPX.cetuximab+RO599.P174,f13.PHLC164.TPX.cetuximab+RO599.P191,f13.PHLC164.TPX.cetuximab+RO599.P22,f13.PHLC164.TPX.cetuximab+RO599.P33,f13.PHLC164.TPX.cetuximab+RO599.P35,f13.PHLC164.TPX.cetuximab+RO599.P42,f13.PHLC164.TPX.cetuximab+RO599.P64,f13.PHLC164.TPX.cetuximab+RO599.P91,f13.PHLC164.TPX.cetuximab+RO599.P92","f13.PHLC164.TPX.control.P102,f13.PHLC164.TPX.control.P11,f13.PHLC164.TPX.control.P111,f13.PHLC164.TPX.control.P122,f13.PHLC164.TPX.control.P123,f13.PHLC164.TPX.control.P131,f13.PHLC164.TPX.control.P135,f13.PHLC164.TPX.control.P145,f13.PHLC164.TPX.control.P154,f13.PHLC164.TPX.control.P172,f13.PHLC164.TPX.control.P175,f13.PHLC164.TPX.control.P194,f13.PHLC164.TPX.control.P52,f13.PHLC164.TPX.control.P53,f13.PHLC164.TPX.control.P75,f13.PHLC164.TPX.control.P81,f13.PHLC164.TPX.control.P82,f13.PHLC164.TPX.control.P84"
f13.PHLC164.TPX.dacomitinib,"f13.PHLC164.TPX.dacomitinib.P12,f13.PHLC164.TPX.dacomitinib.P143,f13.PHLC164.TPX.dacomitinib.P43,f13.PHLC164.TPX.dacomitinib.P85","f13.PHLC164.TPX.control.P102,f13.PHLC164.TPX.control.P11,f13.PHLC164.TPX.control.P111,f13.PHLC164.TPX.control.P122,f13.PHLC164.TPX.control.P123,f13.PHLC164.TPX.control.P131,f13.PHLC164.TPX.control.P135,f13.PHLC164.TPX.control.P145,f13.PHLC164.TPX.control.P154,f13.PHLC164.TPX.control.P172,f13.PHLC164.TPX.control.P175,f13.PHLC164.TPX.control.P194,f13.PHLC164.TPX.control.P52,f13.PHLC164.TPX.control.P53,f13.PHLC164.TPX.control.P75,f13.PHLC164.TPX.control.P81,f13.PHLC164.TPX.control.P82,f13.PHLC164.TPX.control.P84"
f13.PHLC164.TPX.erlotinib,"f13.PHLC164.TPX.erlotinib.P101,f13.PHLC164.TPX.erlotinib.P125,f13.PHLC164.TPX.erlotinib.P144,f13.PHLC164.TPX.erlotinib.P151,f13.PHLC164.TPX.erlotinib.P164,f13.PHLC164.TPX.erlotinib.P182,f13.PHLC164.TPX.erlotinib.P193,f13.PHLC164.TPX.erlotinib.P54,f13.PHLC164.TPX.erlotinib.P55,f13.PHLC164.TPX.erlotinib.P73,f13.PHLC164.TPX.erlotinib.P83,f13.PHLC164.TPX.erlotinib.P93","f13.PHLC164.TPX.control.P102,f13.PHLC164.TPX.control.P11,f13.PHLC164.TPX.control.P111,f13.PHLC164.TPX.control.P122,f13.PHLC164.TPX.control.P123,f13.PHLC164.TPX.control.P131,f13.PHLC164.TPX.control.P135,f13.PHLC164.TPX.control.P145,f13.PHLC164.TPX.control.P154,f13.PHLC164.TPX.control.P172,f13.PHLC164.TPX.control.P175,f13.PHLC164.TPX.control.P194,f13.PHLC164.TPX.control.P52,f13.PHLC164.TPX.control.P53,f13.PHLC164.TPX.control.P75,f13.PHLC164.TPX.control.P81,f13.PHLC164.TPX.control.P82,f13.PHLC164.TPX.control.P84"
f13.PHLC164.TPX.erlotinib+RO599,"f13.PHLC164.TPX.erlotinib+RO599.P104,f13.PHLC164.TPX.erlotinib+RO599.P132,f13.PHLC164.TPX.erlotinib+RO599.P14,f13.PHLC164.TPX.erlotinib+RO599.P142,f13.PHLC164.TPX.erlotinib+RO599.P152,f13.PHLC164.TPX.erlotinib+RO599.P181,f13.PHLC164.TPX.erlotinib+RO599.P41,f13.PHLC164.TPX.erlotinib+RO599.P45,f13.PHLC164.TPX.erlotinib+RO599.P51,f13.PHLC164.TPX.erlotinib+RO599.P63,f13.PHLC164.TPX.erlotinib+RO599.P71,f13.PHLC164.TPX.erlotinib+RO599.P72,f13.PHLC164.TPX.erlotinib+RO599.P94","f13.PHLC164.TPX.control.P102,f13.PHLC164.TPX.control.P11,f13.PHLC164.TPX.control.P111,f13.PHLC164.TPX.control.P122,f13.PHLC164.TPX.control.P123,f13.PHLC164.TPX.control.P131,f13.PHLC164.TPX.control.P135,f13.PHLC164.TPX.control.P145,f13.PHLC164.TPX.control.P154,f13.PHLC164.TPX.control.P172,f13.PHLC164.TPX.control.P175,f13.PHLC164.TPX.control.P194,f13.PHLC164.TPX.control.P52,f13.PHLC164.TPX.control.P53,f13.PHLC164.TPX.control.P75,f13.PHLC164.TPX.control.P81,f13.PHLC164.TPX.control.P82,f13.PHLC164.TPX.control.P84"
f14.PHLC164.TPX.afatinib,"f14.PHLC164.TPX.afatinib.P1212,f14.PHLC164.TPX.afatinib.P1215,f14.PHLC164.TPX.afatinib.P1222","f14.PHLC164.TPX.control.P1201,f14.PHLC164.TPX.control.P1206,f14.PHLC164.TPX.control.P1208,f14.PHLC164.TPX.control.P1210,f14.PHLC164.TPX.control.P1213,f14.PHLC164.TPX.control.P1216,f14.PHLC164.TPX.control.P1218,f14.PHLC164.TPX.control.P1224,f14.PHLC164.TPX.control.P1229,f14.PHLC164.TPX.control.P1231"
f14.PHLC164.TPX.dacomitinib,"f14.PHLC164.TPX.dacomitinib.P1203,f14.PHLC164.TPX.dacomitinib.P1204,f14.PHLC164.TPX.dacomitinib.P1205,f14.PHLC164.TPX.dacomitinib.P1207,f14.PHLC164.TPX.dacomitinib.P1209,f14.PHLC164.TPX.dacomitinib.P1211,f14.PHLC164.TPX.dacomitinib.P1214,f14.PHLC164.TPX.dacomitinib.P1217,f14.PHLC164.TPX.dacomitinib.P1219,f14.PHLC164.TPX.dacomitinib.P1220,f14.PHLC164.TPX.dacomitinib.P1221,f14.PHLC164.TPX.dacomitinib.P1223,f14.PHLC164.TPX.dacomitinib.P1225,f14.PHLC164.TPX.dacomitinib.P1227,f14.PHLC164.TPX.dacomitinib.P1228","f14.PHLC164.TPX.control.P1201,f14.PHLC164.TPX.control.P1206,f14.PHLC164.TPX.control.P1208,f14.PHLC164.TPX.control.P1210,f14.PHLC164.TPX.control.P1213,f14.PHLC164.TPX.control.P1216,f14.PHLC164.TPX.control.P1218,f14.PHLC164.TPX.control.P1224,f14.PHLC164.TPX.control.P1229,f14.PHLC164.TPX.control.P1231"
f15.PHLC164.TPX.dacomitinib,"f15.PHLC164.TPX.dacomitinib.P10,f15.PHLC164.TPX.dacomitinib.P11,f15.PHLC164.TPX.dacomitinib.P12,f15.PHLC164.TPX.dacomitinib.P13,f15.PHLC164.TPX.dacomitinib.P14,f15.PHLC164.TPX.dacomitinib.P3,f15.PHLC164.TPX.dacomitinib.P4,f15.PHLC164.TPX.dacomitinib.P8","f15.PHLC164.TPX.control.P15,f15.PHLC164.TPX.control.P16,f15.PHLC164.TPX.control.P2,f15.PHLC164.TPX.control.P5,f15.PHLC164.TPX.control.P6,f15.PHLC164.TPX.control.P7,f15.PHLC164.TPX.control.P9"
f16.PHLC164.TPX.afatinib,"f16.PHLC164.TPX.afatinib.P1803,f16.PHLC164.TPX.afatinib.P1807,f16.PHLC164.TPX.afatinib.P1808,f16.PHLC164.TPX.afatinib.P1815,f16.PHLC164.TPX.afatinib.P1816,f16.PHLC164.TPX.afatinib.P1828","f16.PHLC164.TPX.control.P1802,f16.PHLC164.TPX.control.P1813,f16.PHLC164.TPX.control.P1824,f16.PHLC164.TPX.control.P1832,f16.PHLC164.TPX.control.P1833"
f16.PHLC164.TPX.cisplatin,"f16.PHLC164.TPX.cisplatin.P1818,f16.PHLC164.TPX.cisplatin.P1819,f16.PHLC164.TPX.cisplatin.P1820,f16.PHLC164.TPX.cisplatin.P1826,f16.PHLC164.TPX.cisplatin.P1831","f16.PHLC164.TPX.control.P1802,f16.PHLC164.TPX.control.P1813,f16.PHLC164.TPX.control.P1824,f16.PHLC164.TPX.control.P1832,f16.PHLC164.TPX.control.P1833"
