Hugo_Symbol	PHLC110	PHLC111	PHLC119	PHLC12	PHLC132	PHLC137	PHLC148	PHLC164	PHLC169	PHLC181	PHLC188	PHLC189	PHLC191	PHLC192	PHLC196	PHLC200	PHLC215	PHLC228	PHLC229	PHLC235	PHLC267	PHLC274	PHLC299	PHLC321	PHLC402	PHLC410	PHLC470	PHLC655	PHLC77	PHLC82
A1BG	1	-1	-1	-1	1	0	-1	1	-1	0	0	1	1	-1	1	1	1	1	-1	-1	2	0	1	-1	-1	1	0	2	-1	0
A2M	-1	-1	-1	-1	1	1	0	1	-1	1	0	1	1	-1	1	1	1	1	0	-1	1	-1	1	1	2	1	0	0	2	-1
A2MP1	-1	-1	-1	-1	1	1	0	1	-1	1	0	1	1	-1	1	1	1	1	0	-1	1	-1	1	1	2	1	0	0	2	-1
NAT1	-1	-1	0	-1	-1	1	-1	-1	-1	1	0	-1	-1	-1	-2	-1	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NAT2	-1	-1	0	-1	-1	1	-1	-1	-1	1	0	-1	-1	-1	-2	-1	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
SERPINA3	1	1	-1	-1	-1	1	-1	0	1	0	1	-1	1	-1	-1	-1	0	-1	-1	1	-1	0	0	-1	0	1	1	0	1	1
AADAC	1	1	-1	-1	1	-1	-1	0	1	1	1	-1	-1	-1	0	2	1	2	1	-1	1	0	1	1	-1	1	1	0	0	0
AAMP	1	0	-1	1	-1	1	-1	0	-1	0	0	0	1	1	-1	0	-1	0	-1	0	0	0	-1	-1	1	-1	-1	0	-1	1
AANAT	1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	0	1	0	1	-1	1	0	-1	1	0	1	-1	-1	0	1	1
AARS	-1	-1	1	1	1	-1	1	-1	-1	1	0	0	1	2	1	0	-1	1	0	-1	-1	0	0	1	0	1	-1	-1	1	-1
ABAT	0	-1	1	1	1	0	1	1	0	1	1	0	1	1	-1	0	-1	1	0	-1	0	-1	0	1	1	1	-1	1	-1	0
ABCA1	1	0	1	0	-1	0	1	0	0	0	1	-1	1	0	-2	-1	-1	1	-1	0	-1	-1	-1	1	-1	-1	-1	1	1	-1
ABCA2	0	0	1	1	-1	1	0	-1	0	1	1	-1	1	-1	0	-1	-1	-1	2	-1	-1	-1	-1	1	-1	-1	-1	1	0	-1
ABCA3	0	-1	-1	0	1	0	1	-1	0	0	1	1	0	1	-1	-1	-1	1	1	-1	-1	-1	1	1	1	1	-1	1	-1	0
ABCF1	1	-1	1	0	1	-1	-1	0	0	-1	0	0	-1	-1	1	0	1	0	-1	1	1	0	0	1	-1	0	0	-1	-1	1
ABCA4	2	0	0	0	1	-1	1	0	-1	1	0	0	-1	1	0	-1	-1	0	-1	0	-1	0	0	-1	-1	1	0	-1	0	-1
ABL1	1	0	1	1	-1	1	0	-1	0	0	1	-1	1	-1	0	-1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	-1
ABP1	2	1	1	-1	1	-1	1	1	1	0	0	1	-1	1	-1	1	1	-1	0	1	1	0	1	1	0	-1	0	0	1	-1
ABL2	1	1	-1	1	0	-1	-1	1	-1	1	0	1	1	1	1	1	-1	1	1	-1	1	0	0	1	1	1	0	1	-1	-1
ABO	0	0	1	1	-1	1	0	-1	0	0	1	-1	1	-1	0	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	1	0	-1
ABR	-1	-1	-1	-1	-1	0	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	-1	0	0	-1	0	-1	1	-1	-1	-1	0
ACAA1	-1	-1	-1	0	-1	-1	1	0	0	-1	-1	0	0	-1	-1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1
ACACA	1	1	1	-1	-1	1	1	-1	0	1	-1	1	-1	-1	-1	0	0	-1	-1	2	1	0	0	-1	1	-1	-1	0	1	-1
ACACB	-1	0	-1	0	1	-1	1	1	-1	1	0	1	0	-1	-1	1	0	-1	0	0	-1	0	-1	1	-1	-1	0	-1	1	-1
ACADL	1	0	1	1	-1	1	-1	0	-1	0	0	0	1	1	0	-1	-1	0	-1	0	0	0	0	-1	1	-1	-1	0	-2	1
ACADM	2	0	0	0	1	0	1	0	-1	1	0	0	-1	1	1	-1	1	0	-1	1	-1	0	0	-1	-1	1	1	-1	-1	-1
ACADS	-1	0	-1	0	1	-1	1	1	-1	1	0	1	0	-1	-1	1	-1	-1	0	-1	-1	0	-1	1	-1	-1	0	-1	1	-1
ACADSB	-1	-1	0	1	0	-1	0	-1	1	0	-1	1	0	-1	-1	-1	-1	0	0	-1	-1	0	0	1	-1	0	-1	-1	-1	-1
ACADVL	-1	-1	-1	-1	-1	0	-1	-1	-1	1	1	1	1	-1	-1	1	0	0	-1	-1	1	0	-1	0	-1	1	-1	-1	0	0
ACAT1	2	-1	-1	1	0	-1	1	0	1	0	0	0	-1	1	1	1	1	-1	-1	-1	-1	1	1	-1	1	0	-1	-1	1	0
ACAT2	0	1	-1	-1	1	0	0	-1	1	0	-1	0	-1	-1	-1	1	1	1	-1	-1	0	1	0	1	0	1	0	-1	1	-1
ACCN1	1	2	1	-1	-1	1	1	-1	0	1	1	1	-1	-1	-1	1	0	-1	-1	1	1	0	0	-1	1	-1	-1	0	1	1
ACCN2	-1	0	1	-1	1	-1	1	1	-1	1	0	1	0	-1	1	1	1	1	0	-1	1	0	0	1	0	-1	-1	1	1	-1
ACHE	0	1	-1	1	1	-1	1	1	1	0	1	1	1	1	1	1	1	-1	0	-1	0	0	1	1	0	1	0	0	0	1
ACLY	1	1	1	-1	-1	1	1	-1	0	1	0	1	-1	-1	-1	0	0	1	-1	1	1	0	0	-1	1	-1	-1	0	0	1
ACO1	0	0	1	-1	-1	-1	1	0	1	1	-1	-1	-1	-1	-1	-1	1	0	-2	1	-1	-1	-1	-1	-1	1	1	1	-1	-1
ACR	-1	-1	-1	-1	1	0	0	1	1	-1	1	-1	0	-1	-2	1	-1	2	-1	1	1	1	-1	0	-1	0	2	-1	-1	-1
ACO2	-1	-1	-1	-1	1	0	0	1	1	-1	1	-1	0	-1	-1	0	-1	1	-1	1	1	0	-1	-1	-1	1	1	-1	-1	-1
ACOX1	1	1	0	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	1	0	1	-1	1	0	-1	0	0	1	-1	-1	0	0	1
ACP1	1	-1	-1	1	1	1	-1	0	-1	0	-1	0	-1	-1	1	-2	0	1	0	-1	1	0	-1	1	0	1	-1	0	1	1
ACP2	-1	-1	-1	-1	-1	1	1	-1	1	1	0	0	-1	1	1	-1	0	-1	-2	0	0	0	1	1	-1	-1	-1	0	-1	1
ACP5	-1	-1	-1	-1	-1	-1	-1	1	1	0	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	0	-1	-1	-1	-1	-1	-1	0	0
ACPP	1	1	-1	-1	0	-1	0	0	-1	1	1	-1	-1	-1	-1	1	1	1	1	-1	1	0	0	1	-1	1	1	0	0	0
ACRV1	2	-1	-1	1	-1	-1	1	0	1	0	-1	0	0	1	1	0	0	-1	-1	-1	-1	0	1	-1	-1	0	-1	-1	1	1
ACTA1	1	1	-1	1	1	-1	-1	1	-2	-1	-1	1	-1	1	-1	1	-1	1	1	1	1	0	-1	1	2	1	-1	1	-1	1
ACTA2	-1	-1	0	1	0	-1	0	0	1	0	-1	1	0	0	-1	-1	-1	0	1	0	-1	1	0	1	-1	1	-1	-1	-1	1
ACTB	0	1	0	1	0	-1	1	2	1	0	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	-1	0	-1	1
ACTC1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	0	0	-1	1	-1	1	0	1	1	-1	0	1	1	-2	0	-2	1	0	1	1
ACTG1	0	1	1	0	-1	1	0	1	0	1	-1	1	0	-1	0	1	1	1	0	1	0	-1	1	0	1	-1	-1	0	1	1
ACTG2	0	0	-1	1	1	1	-1	0	-1	0	1	0	-1	-1	-1	1	0	1	0	0	1	0	0	1	1	1	-1	0	1	0
ACTN4	1	-1	1	-1	1	-1	-1	0	1	0	1	1	1	-1	1	2	-1	1	-1	1	1	0	1	1	0	1	0	1	-1	0
ACTL6A	1	1	-1	-1	1	-1	-1	0	1	1	1	-1	-1	-1	0	2	1	2	1	-1	2	0	1	1	-1	1	1	1	2	-1
ACTN1	1	1	-1	-1	-1	1	-1	0	1	0	1	-1	1	-1	-1	-1	0	-1	-1	-1	-1	0	0	-1	0	1	1	0	1	1
ACTN2	1	1	-1	1	1	-1	-1	1	-2	-1	-1	1	-1	1	0	1	-1	1	1	1	1	0	-1	1	1	1	0	1	1	1
ACTN3	1	-1	0	0	-1	1	1	0	1	1	-1	0	-1	1	1	0	0	-1	-1	1	-1	0	1	1	-1	1	-1	-1	1	0
ACVR1	1	0	1	1	-1	1	-1	0	-1	0	0	1	1	1	0	1	-1	0	-1	-1	0	0	1	-1	1	-1	-1	0	1	1
ACVR1B	-1	0	1	-1	1	-1	1	1	-1	1	0	1	0	-1	1	1	1	1	0	-1	1	0	0	1	0	-1	-1	1	1	-1
ACVR2A	1	0	1	1	-1	1	-1	0	-1	0	0	0	1	1	0	1	-1	0	-1	-1	1	0	1	-1	1	-1	-1	0	-1	1
ACVR2B	-1	-1	-1	1	-1	-1	1	0	0	-1	-1	0	0	-1	-1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1
ACVRL1	-1	0	1	-1	1	-1	1	1	-1	1	0	1	0	-1	1	1	1	1	0	-1	1	0	0	1	0	-1	-1	1	1	-1
ACY1	0	-1	-1	1	-1	-1	1	0	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-2	-1	-1	-1	0	-1
ACYP1	1	1	-1	-1	-1	1	-1	0	1	0	1	-1	1	-1	-1	-1	0	-1	-1	-1	-1	0	0	-1	0	1	1	0	1	1
ACYP2	1	0	-1	1	1	1	-1	0	-1	0	2	-1	-1	0	1	1	0	1	1	0	1	0	1	1	1	1	-1	0	1	1
ADA	1	1	-1	-1	1	0	-1	1	0	1	-1	1	1	1	1	1	1	1	1	-1	1	0	1	1	0	1	0	0	1	0
ADAM8	-1	-1	0	1	0	-1	0	-1	1	0	-1	1	0	-1	-1	-1	-1	-1	1	-1	-1	1	0	1	-1	1	-1	-1	-1	-1
ADAM10	-1	-1	-1	-1	1	-1	-1	-1	1	-1	0	0	-1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1
ADAR	1	1	1	1	0	0	-1	1	1	2	-1	1	2	1	-1	1	-1	1	1	1	1	0	0	1	2	0	0	1	-1	1
ADARB1	0	-1	0	-1	1	0	-1	0	-1	1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1
ADARB2	-1	-1	1	1	-1	1	-1	1	1	1	1	1	1	-1	1	0	1	-2	0	1	-1	0	1	1	-1	-1	0	1	-1	-1
ADCY1	0	1	1	1	1	-1	1	1	1	0	1	1	-1	1	1	1	0	1	0	1	1	1	1	1	1	-1	-1	0	0	1
ADCY2	-1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	0	1	1	1	0	1	1	1	-1	1	1	-1	1
ADCY3	1	0	-1	1	1	1	-1	0	0	0	-1	0	-1	-1	1	1	0	1	0	-1	1	0	0	1	0	-1	-1	0	1	1
ADCY5	1	1	-1	-1	0	-1	0	0	-1	1	1	-1	-1	-1	-1	-1	1	0	1	-1	1	0	0	1	-1	-1	1	-1	0	0
ADCY6	-1	0	1	-1	1	1	1	1	-1	1	0	1	0	-1	1	1	1	1	0	-1	1	0	0	1	0	-1	-1	1	1	-1
ADCY7	-1	-1	1	1	1	1	1	-1	-1	1	0	-1	1	1	-1	0	-1	1	0	0	0	0	0	1	0	1	-1	-1	1	-1
ADCY8	-1	1	1	1	1	-1	0	1	1	1	1	1	1	1	1	0	1	1	2	1	-1	2	0	1	1	1	1	1	1	-1
ADCY9	0	-1	-1	0	1	0	1	-1	0	0	1	1	1	1	-1	0	-1	1	0	-1	0	-1	0	1	1	1	-1	1	-1	0
ADCYAP1	-1	2	1	-1	-1	0	-1	-1	1	0	1	1	0	-1	1	0	1	-1	-1	1	0	1	-1	1	1	1	0	1	1	1
ADCYAP1R1	0	1	1	1	1	-1	1	1	1	0	1	1	-1	1	1	-1	0	1	1	1	1	1	1	1	1	1	-1	1	0	1
ADD1	-1	0	1	1	0	1	1	-1	1	1	0	1	1	1	-1	-1	0	-1	1	1	-1	0	0	-1	-1	-1	-1	-1	-1	-1
ADD2	0	0	-1	1	1	1	-1	0	-1	0	1	0	-1	-1	1	1	0	1	0	0	1	0	0	1	1	1	-1	0	1	0
ADD3	0	-1	0	1	0	-1	0	-1	1	0	-1	1	0	0	-1	-1	-1	0	1	0	-1	1	0	1	-1	0	-1	-1	-1	-1
PLIN2	0	0	0	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-2	-1	-1	0	-1	1	-1	-1	-1	-1	-1	1	-1	0	-1	-1
ADH1A	0	1	1	0	0	1	1	0	-1	0	-1	0	-1	0	0	-1	0	-1	-1	1	1	1	1	-1	-1	-1	1	0	-1	0
ADH1B	0	1	1	0	0	1	1	0	-1	0	-1	0	-1	0	0	-1	0	-1	-1	1	1	1	1	-1	-1	-1	1	0	-1	0
ADH1C	0	1	1	0	0	1	1	0	-1	0	-1	0	-1	0	0	-1	0	-1	-1	1	1	1	1	-1	-1	-1	1	0	-1	0
ADH4	0	1	1	0	0	1	1	0	-1	0	-1	0	1	0	0	-1	0	-1	-1	1	1	1	1	-1	-1	-1	1	0	-1	0
ADH5	0	1	1	0	0	1	1	0	-1	0	-1	0	1	0	0	-1	0	-1	-1	1	1	1	1	-1	-1	-1	1	0	-1	0
ADH6	0	1	1	0	0	1	1	0	-1	0	-1	0	0	0	0	-1	0	-1	-1	1	1	1	1	-1	-1	-1	1	0	-1	0
ADH7	0	1	1	0	0	1	1	0	-1	0	-1	0	-1	0	0	-1	0	-1	-1	1	1	1	1	-1	-1	-1	1	0	-1	0
ADK	-1	-1	0	1	0	-1	0	0	1	0	-1	1	0	-1	-1	1	-1	0	0	-1	-1	0	0	1	-1	0	-1	1	-1	1
ADM	-1	-1	-1	0	0	1	1	-1	-1	1	-1	0	-1	1	1	-1	0	0	-1	0	0	-1	-1	-1	-1	1	-1	0	0	-1
ADORA1	1	1	-1	1	0	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	1	1	-1	-1	1	2	1	-1	1	-1	1
ADORA2A	-1	-1	1	-1	1	1	-1	0	0	2	-1	-1	0	-1	-1	0	-1	1	-1	1	1	-1	0	-1	-1	1	1	1	-1	1
ADORA2B	-1	-1	-1	-1	-1	0	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	-1	-1	0	0	-1	0	-1	-1	-1	-1	1	1
ADORA3	2	0	0	0	1	-1	1	0	-1	-1	0	0	-1	1	-1	-1	-1	-2	-1	0	-1	-1	0	-1	-1	1	0	-1	-1	-1
ADPRH	1	1	-1	-1	1	-1	0	0	-1	1	1	-1	-1	-1	0	0	1	0	1	-1	1	0	0	1	-1	-1	1	-1	1	0
PARP1	1	1	-1	1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	1	0	-1	1	2	1	-1	1	-1	1
PARP4	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	1	1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1
ADRA1D	1	1	-1	-1	-1	2	-1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	1	0	0	-1	-1	1	0	-1	1	1
ADRA1B	-1	-1	0	0	-1	1	1	1	-1	1	-1	0	1	1	0	-1	1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	1
ADRA1A	-1	-1	0	-1	-1	1	-1	-1	-1	1	0	-1	-1	-1	-2	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1
ADRA2A	0	-1	0	1	0	-1	0	-1	1	0	-1	1	0	0	-1	-1	-1	0	1	0	-1	1	0	1	-1	0	-1	-1	-1	-1
ADRA2B	1	0	1	1	1	1	-1	-1	1	0	1	0	1	1	1	0	0	1	0	-1	1	0	0	-1	0	1	-1	0	-1	1
ADRA2C	-1	0	1	1	0	1	1	0	1	1	0	1	1	1	-1	-1	0	-1	1	1	-1	0	0	-1	-1	-1	-1	-1	-1	-1
ADRB1	0	-1	0	1	0	-1	0	-1	1	0	-1	1	0	0	-1	-1	-1	0	0	0	-1	1	0	1	-1	0	-1	-1	-1	-1
ADRB2	-1	-1	0	0	-1	1	1	1	-1	1	-1	0	1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	1
ADRB3	-1	-1	1	-1	2	0	-1	-1	1	1	0	-1	-1	-1	1	2	1	1	1	-1	2	2	2	2	-1	-1	1	-1	-1	-1
ADRBK1	1	-1	0	0	-1	1	1	0	1	1	-1	0	-1	1	1	0	0	-1	-1	1	-1	0	1	1	1	1	-1	-1	1	1
ADRBK2	-1	-1	1	-1	1	1	0	0	1	-1	-1	-1	-2	-1	-1	0	-1	1	-1	1	1	0	1	-1	-1	1	1	1	-1	1
ADSL	-1	-1	-1	1	1	0	0	0	1	-1	1	-1	0	-1	-1	0	-1	1	-1	1	1	0	-1	-1	-1	1	1	-1	-1	-1
ADSS	1	1	-1	1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	1	0	0	1	2	1	0	1	1	1
AP2A1	1	-1	-1	-1	1	-1	-1	0	-1	0	1	1	1	-1	1	1	-1	1	-1	-1	1	0	1	-1	-1	1	0	-1	1	0
AP2A2	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	0	-1	1	1	-1	1	-1	-1	-1	0	1	-1	-1	-1	-1	-1	0	0	-1
AP1B1	-1	-1	-1	-1	1	0	0	0	1	-1	2	-1	0	-1	-1	0	-1	1	-2	1	1	2	1	-1	-1	1	1	1	-1	1
AP2B1	1	1	1	-1	-1	1	1	0	0	1	-1	1	-1	-1	-1	0	0	-1	-1	1	1	0	0	-1	1	-1	-1	0	1	1
AP1G1	-1	-1	1	1	1	-1	1	-1	-1	2	0	-1	2	1	1	0	-1	1	0	0	0	0	0	1	0	1	-1	-1	1	-1
AEBP1	0	1	1	1	0	-1	1	1	1	0	1	1	-1	1	1	1	0	1	0	1	1	1	1	1	1	-1	-1	0	0	1
AES	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	-1	0	-1	1	-1	-1	-1	-1	1	0
CRISP1	-1	1	0	-1	1	-1	-1	0	1	1	0	0	-1	-1	1	1	1	1	-1	0	0	1	0	1	-1	1	1	-1	-2	1
AFG3L1P	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	1	-1	1	1	-2	-1	-1	1	1	1	1	-1	-1	1	-1
AFM	0	1	1	-1	0	1	1	0	-1	0	2	0	1	0	0	-1	0	-1	-1	0	1	1	1	-1	-1	1	1	0	-1	0
AFP	0	1	1	-1	0	1	1	0	-1	0	2	0	1	0	0	-1	0	-1	-1	0	1	1	1	-1	-1	1	1	0	-1	0
AGA	0	1	-1	0	0	1	1	1	-1	0	-1	0	0	0	-2	-1	0	-2	-1	0	-1	-1	1	-1	-2	-1	1	-1	-1	0
ACAN	-1	-1	-1	1	1	-1	-1	-1	0	-1	0	0	1	1	1	0	0	1	0	-1	1	0	1	1	0	1	1	-1	1	1
AGER	1	-1	0	0	1	-1	-1	0	0	-1	0	0	-1	-1	1	0	1	0	-1	1	1	0	0	1	0	0	0	-1	-1	0
AGL	2	0	0	0	1	-1	1	0	-1	1	0	0	-1	1	0	-1	-1	0	-1	0	-1	0	1	-1	-1	1	0	-1	-1	-1
AGRP	-1	-1	1	1	1	-1	1	-1	-1	1	0	0	1	2	1	0	-1	1	0	-1	-1	0	1	1	0	1	-1	-1	1	-1
JAG1	1	2	-1	-1	-1	2	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	1	-1	1	0	1	-1	-1	1	0	-1	1	1
AGT	1	1	-1	1	1	-1	-1	1	-2	-1	-1	1	-1	1	-1	1	-1	1	1	1	1	0	-1	1	2	1	-1	1	-1	1
AGTR1	1	1	-1	-1	1	-1	-1	0	1	1	1	-1	-1	-1	0	2	1	2	1	-1	1	0	1	1	-1	1	1	0	0	0
APLNR	-1	-1	0	0	-1	1	1	0	1	0	0	0	-1	-1	1	1	0	1	-1	0	0	0	1	1	-1	1	0	-1	1	-1
AGXT	1	0	-1	1	-1	1	-1	0	-1	0	0	1	1	1	-2	0	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	0	-1	1
AHCY	1	-1	-1	-1	1	-1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	0	1	2	0	1	0	0	0	0
AHR	0	1	1	1	-1	-1	1	2	1	0	1	1	1	2	2	-1	1	1	1	1	1	1	1	1	1	1	-1	0	0	2
AHSG	1	1	-1	-1	1	-1	-1	0	1	1	1	-1	-1	-1	-1	2	1	1	1	-1	2	2	1	1	-1	1	1	1	2	-1
AIF1	1	-1	0	0	1	-1	-1	0	0	-1	0	0	-1	-1	1	0	1	0	-1	1	1	0	0	1	0	0	0	-1	-1	0
AIM1	0	1	-1	-1	1	0	0	-1	-1	-1	-1	0	1	0	-2	1	1	0	-1	-1	1	1	0	1	0	1	1	-1	0	-1
AK1	1	0	1	1	-1	1	0	-1	0	1	1	-1	1	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	-1
AK2	-1	0	0	-1	1	0	1	0	-1	1	0	0	-1	1	-1	-1	1	-1	1	-1	-1	0	-1	-1	-1	1	0	0	-1	-1
AK4	2	0	0	0	1	0	1	0	-1	1	0	0	-1	1	1	-1	1	0	-1	0	-1	0	0	-1	-1	1	0	-1	-1	-1
AKT1	1	1	-1	-1	-1	1	-1	0	1	0	1	-1	1	-1	-1	0	0	-1	-1	1	-1	0	1	1	0	1	1	0	1	1
AKT2	1	-1	-1	-1	1	-1	-1	0	-1	0	1	1	1	-1	1	2	-1	1	2	-1	1	0	1	-1	0	1	0	1	-1	0
ALAD	1	0	1	0	-1	0	1	0	0	0	1	-1	1	-1	-1	-1	-1	1	-1	0	-1	-1	-1	1	-1	-1	-1	1	0	-1
ALAS1	0	-1	-1	1	-1	-1	1	0	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-2	-1	-1	-1	0	-1
ALB	0	1	1	-1	0	1	1	0	-1	0	2	0	1	0	0	-1	0	-1	-1	0	1	1	1	-1	-1	1	1	0	-1	0
ALCAM	1	1	0	-1	1	-1	0	0	-1	0	1	-1	-1	-1	0	1	1	0	2	-1	1	2	1	1	-1	1	-1	0	1	1
ALDH1A1	-1	0	1	1	-1	0	1	0	0	-1	1	-1	1	-1	0	-1	-1	1	-1	0	-1	-1	-1	1	-1	-1	-1	1	-1	-1
ALDH2	-1	0	-1	0	1	-1	1	1	-1	1	0	1	0	-1	-1	1	-1	-1	0	-1	-1	0	-1	1	-2	0	0	-1	1	1
ALDH3A1	-1	-1	1	-1	-1	0	-1	-1	1	1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	0	-1	-1	-1	-1	1
ALDH1B1	0	0	1	-1	-1	1	1	0	1	0	-1	-1	-1	-1	-1	-2	-1	0	-2	0	-1	-1	-1	-1	-1	-1	-1	1	-1	-1
ALDH1A3	-1	-1	-1	1	1	-1	-1	-1	0	-1	0	0	0	1	1	0	0	1	-1	0	1	0	1	1	0	1	1	-1	1	1
ALDH3B1	1	-1	0	0	-1	1	1	0	1	1	-1	0	-1	1	1	0	0	-1	-1	1	-1	0	1	1	2	1	2	-1	1	-1
ALDH3B2	1	-1	0	0	-1	1	1	0	1	1	-1	0	-1	1	1	0	0	-1	-1	1	-1	0	1	1	2	1	2	-1	1	1
ALDH9A1	1	1	1	1	0	0	-1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	0	0	1	1	0	0	1	-1	1
ALDH3A2	-1	-1	1	-1	-1	0	-1	-1	1	1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	0	-1	-1	-1	1	1
ABCD2	1	-1	1	-1	1	-1	1	1	1	-1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	-1	-1	1	1	1
ALDOA	1	-1	1	1	1	0	1	1	0	0	0	0	1	1	-1	0	-1	1	0	-1	0	0	0	1	1	1	-1	1	1	0
ALDOB	1	0	1	0	-1	0	1	0	0	0	1	-1	1	0	-1	-1	-1	2	-1	0	-1	-1	-1	1	-1	-1	-1	1	1	-1
ALDOC	1	2	1	-1	-1	1	1	-1	0	1	1	1	0	-1	1	1	0	1	-1	1	1	0	0	-1	0	-1	-1	0	1	1
AKR1B1	-1	1	1	-1	1	-1	1	1	1	0	1	1	-1	1	-1	1	1	0	1	1	1	0	1	1	0	-1	0	0	-1	1
ALK	1	0	-1	1	1	1	-1	0	0	0	-1	0	-1	-1	1	1	0	1	0	-1	1	0	0	1	0	-1	-1	0	1	1
ALOX12	-1	-1	-1	-1	-1	0	-1	-1	-1	1	1	1	1	-1	-1	1	0	0	-1	-1	0	0	-1	0	-1	1	-1	-1	0	0
ALOX5	-1	-1	-1	1	0	-1	-1	0	0	0	1	1	0	-1	-1	2	-1	-1	0	-1	-1	0	-1	1	-1	1	0	2	-1	1
ALOX5AP	-1	-1	-1	1	-1	1	-1	-1	-1	0	0	0	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1
ALOX12B	-1	-1	-1	-1	-1	0	-1	-1	-1	1	1	1	1	-1	-1	0	0	0	-1	-1	1	0	-1	0	-1	1	-1	-1	0	0
ANXA8L2	-1	-1	-1	1	0	-1	-1	0	0	0	-1	1	0	-1	-1	2	-1	-1	0	-1	-1	0	-1	1	-1	1	-1	2	-1	1
ALOX12P2	-1	-1	-1	-1	-1	0	-1	-1	-1	1	1	1	1	-1	-1	1	0	0	-1	-1	0	0	-1	0	-1	1	-1	-1	0	0
ALOX15	-1	-1	-1	-1	-1	0	-1	1	-1	1	1	1	1	-1	-1	1	1	0	-1	-1	0	0	-1	0	-1	1	-1	-1	0	0
ALOX15B	-1	-1	-1	-1	-1	0	-1	-1	-1	1	1	1	1	-1	-1	0	0	0	-1	-1	1	0	-1	0	-1	1	-1	-1	0	0
ALPI	1	0	-1	1	-1	1	-1	0	-1	0	0	0	1	1	-1	0	-1	0	-2	-1	-1	0	-1	-1	0	-1	-1	0	-1	1
ALPL	-1	0	0	-1	1	0	1	0	-1	0	0	1	-1	1	-1	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	1	-1	1
ALPP	1	0	-1	1	-1	1	-1	0	-1	0	0	0	1	1	-1	0	-1	0	-2	-1	-1	0	-1	-1	0	-1	-1	0	-1	1
ALPPL2	1	0	-1	1	-1	1	-1	0	-1	0	0	0	1	1	-1	0	-1	0	-2	-1	-1	0	-1	-1	0	-1	-1	0	-1	1
ALX3	2	0	0	0	1	-1	1	0	-1	-1	0	0	-1	1	-1	-1	-1	-2	-1	0	-1	-1	0	-1	-1	1	0	-1	-1	-1
AMBN	1	1	0	-1	0	1	1	0	-1	0	1	0	1	0	0	-1	0	-1	-1	0	1	1	1	-1	-1	-2	1	-1	-1	0
AMBP	1	0	1	0	-1	0	1	0	0	0	1	-1	1	-1	-1	-1	-1	1	-1	0	-1	-1	-1	1	-1	1	-1	1	0	-1
