Hugo_Symbol	PHLC106	PHLC110	PHLC111	PHLC113	PHLC116	PHLC119	PHLC122	PHLC123	PHLC12	PHLC132	PHLC133	PHLC134	PHLC137	PHLC139	PHLC148	PHLC149	PHLC151	PHLC152	PHLC154	PHLC156	PHLC162	PHLC164	PHLC169	PHLC171	PHLC178	PHLC181	PHLC182	PHLC188	PHLC189	PHLC191	PHLC192	PHLC193	PHLC194	PHLC196	PHLC198	PHLC200	PHLC204	PHLC205	PHLC207	PHLC211	PHLC215	PHLC220	PHLC223	PHLC225	PHLC228	PHLC229	PHLC234	PHLC235	PHLC236	PHLC237	PHLC239	PHLC242	PHLC243	PHLC247	PHLC251	PHLC252	PHLC255	PHLC256	PHLC267	PHLC268	PHLC271	PHLC272	PHLC273	PHLC274	PHLC277	PHLC286	PHLC295	PHLC296	PHLC299	PHLC309	PHLC314	PHLC315	PHLC321	PHLC325	PHLC326	PHLC328	PHLC334	PHLC339	PHLC344	PHLC353	PHLC356	PHLC360	PHLC362	PHLC365	PHLC366	PHLC369	PHLC379	PHLC390	PHLC397	PHLC402	PHLC410	PHLC412	PHLC417	PHLC422	PHLC426	PHLC428	PHLC431	PHLC435	PHLC438	PHLC444	PHLC451	PHLC459	PHLC462	PHLC469	PHLC470	PHLC471	PHLC501	PHLC50	PHLC55	PHLC57	PHLC62	PHLC655	PHLC77	PHLC81	PHLC82	PHLC83	PHLC85	PHLC86
TREH	0	2	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	0	1	0	0	0	1	1	-1	0	1	1	1	0	0	-1	0	1	1	-1	1	1	-1	0	-1	0	0	1	0	1	0	0	-1	-1	0	-1	0	1	-1	-1	1	0	1	0	1	-2	-1	0	-1	-1	-1	0	0	0	-1	1	1	-1	0	1	-1	0	0	0	-1	1	1	1	-1	0	1	0	1	1	-1	1	0	1	0	1	1	0	1	0	1	1	0	0	-1	0	1	1	-1	0	-1	1	-1	-1	0	-1	1	1	-1	1	-1	0
SLC2A6	0	0	0	-1	-1	1	0	-1	1	-1	1	1	1	1	0	0	0	-1	1	-1	-1	-1	0	-1	-1	0	0	1	-1	1	-1	0	1	0	-1	-1	-1	0	1	0	-1	-1	0	0	-1	2	-1	-1	-1	-1	1	1	-1	0	-1	0	1	-1	-1	-1	-1	-1	-2	-1	-1	-1	1	1	-1	0	-1	-1	-1	-2	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	0	0	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	0	1	1	0	-1	-1	1	2	-1
MAP4K5	0	1	1	1	-1	1	-1	-1	-1	-1	-1	0	-1	0	-1	1	0	-1	1	1	1	0	1	0	1	2	-1	1	1	1	0	1	1	0	-1	-1	-1	0	1	1	0	2	1	0	-1	-1	0	-1	0	0	-1	-1	-1	0	1	1	0	-1	-1	0	1	0	-1	0	-1	0	1	1	1	0	0	1	-1	0	0	1	1	-1	0	1	-1	0	0	1	-1	1	0	-1	1	0	1	-1	1	0	1	1	-1	1	0	0	-1	1	0	0	1	0	1	-2	-1	-1	0	0	1	2	1	1	-1	0
MAP4K1	0	1	-1	1	1	1	-1	1	-1	1	-1	0	-1	1	-1	-1	-1	1	1	1	-1	0	1	1	-1	0	1	1	1	1	-1	-1	-1	1	-1	2	1	0	1	1	-1	-1	1	1	1	-1	-1	1	1	1	1	0	-1	1	1	-1	1	0	1	1	1	-1	1	0	1	2	0	1	1	0	2	0	1	0	1	2	1	0	1	-1	1	0	0	1	-1	1	1	0	1	0	1	2	1	0	0	-1	1	1	0	2	-1	2	-1	1	0	0	2	-1	1	0	0	1	-1	1	0	-1	1	0
INMT	-1	0	1	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	0	0	1	1	-1	1	1	0	1	0	1	1	1	-1	1	1	1	1	1	-1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	0	1	1	1	1	1	-1	0	0	0	-1	1	1	1	1	0	1	1	1	2	1	1	1	-1	-1	0	-1	1	0	-1	1	1	-1	1	0	1	1	-1	1	-1
RASSF1	1	0	-1	-1	-1	-1	-1	-1	1	-1	-1	0	-1	-1	1	-1	0	-2	-1	-1	-2	0	0	-2	-1	-1	-1	-1	0	-1	-2	-1	-1	-1	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	-1	-1	-1	0	-1	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-2	0	-1	-1	1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	1	-2	-2	-1	-1	-1	-2	-1	-1	1	0	1	-1	-1	-1	-2	-1	-1	0	-1	-1	-1	-1	-1	-1	0	0	-1	1	-1	1
PKP3	2	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	1	-1	1	-1	1	1	-1	1	-2	-1	-1	-1	-1	1	0	-1	0	-1	1	0	-1	1	1	-1	-1	1	-1	-1	1	-1	0	-1	-1	-1	0	-1	-1	0	1	1	-1	0	1	-1	0	-1	0	0	-1	0	-1	1	-1	1	0	0	-1	-1	0	-1	-1	0	-1	-1	-1	-1	1	-1	0	-1	-1	0	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	1	0	0	-1	-1	-1	0	1	-1	-1	0	0	1	-2	1	1	0	0	-1	-1	1	0	-1
NISCH	1	0	-1	-1	-1	-1	-1	-1	1	-1	-1	0	-1	-1	1	-1	0	-1	-1	-1	-2	0	0	-2	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	1	0	-1	-1	-1	0	-1	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-2	0	-1	-1	1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	1	-2	-1	-1	-1	-1	-2	-1	-1	1	0	0	-1	-1	-1	-2	-1	-1	0	-1	-1	1	-1	-1	-1	0	0	-1	1	-1	1
CELF3	-1	1	2	1	1	2	0	1	1	0	1	1	0	-1	-1	-1	1	0	1	1	1	1	-1	1	-1	1	0	-1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	0	1	1	1	1	1	1	1	0	1	2	1	-1	2	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	-1	1	0	1	1	1	1	1	1	1	0	-1	1	1	1	1	0	1	2	0	0	-1	1	1	-1	1	1	0	1	0	0	1	1	0	1	0	-1	1	1	-1	1	-1	1	1	1	1	0
CEP250	-1	1	2	-1	0	-1	1	1	-1	1	1	-1	-1	1	-1	0	0	0	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	0	1	1	1	-1	1	2	0	1	0	0	1	1	1	-1	-1	1	1	-1	1	-1	1	1	0	0	0	1	0	0	-1	1	0	-1	0	1	0	1	1	1	1	2	0	1	1	1	1	0	1	1	-1	-1	0	0	1	2	1	-1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	-1	-1	1	1	-1	0	1	1	0	1	0	1
PTENP1	1	0	0	-1	2	1	1	-1	-1	-1	-1	-1	-1	1	1	1	-1	0	-1	1	0	1	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	1	-1	-1	1	0	1	-1	0	-1	0	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1	0	-1	-1	-1	-1	-1	0	0	-1	0	0	0	1	0	0	0	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	2	0	-1	2	1	1	1	1	-1	-1	-1	0	1	-1
WBP4	1	-1	-1	-2	-1	-1	0	-1	1	-1	-1	1	-1	0	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	0	-1	1	0	1	-1	0	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-2	-1	-2	-1	-1	-1	-1	-1	0	-2	-1	-1	1	0	1	-1	-1	-1	-1	0	1	0	-1	-1	1	-1	-1	-1	0	-1	-1	1	-1	0	-1	1	-1	-1	-1	-1	0	0	1	1	-1	-1	-1	1	2	1	0	-1	-1
ABCB8	0	1	1	-1	1	1	-1	-1	-1	1	0	0	-1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	-1	1	0	0	-1	1	1	-1	0	1	0	1	0	1	1	-1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	-1	0	1	1	1	0	0	1	1	0	1	1	-1	-1	1	1	-1	1	1	0	0	1	0	0	0	0	-1	1	-1	0	1	1	1	1	1	1	1	-1	-1	1	0	1	0	0	1	0	0	0	1	1	-1	0	-2	0
SEC23IP	1	0	-1	0	0	0	-1	-1	1	0	1	-2	-1	1	0	-1	0	0	-1	0	-1	-1	1	1	1	0	1	-1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	-1	-1	0	0	-1	0	0	0	0	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	0	0	-1	0	0	-1	1	-1	1	0	-1	-1	1	1	0	1	-1	0	0	0	0	0	1	0	1	-1	0	1	-1	-1	-1	0	-1	-1	0	1	-1	-1	1	-1	-1	1	0	-1	0	-1	1	-1	-1	0	-1	-1	-1	1
WIF1	-1	-1	0	1	0	1	0	0	-1	1	1	1	-1	-1	1	0	0	0	1	0	0	1	-1	1	-1	1	1	0	1	0	-1	-1	1	1	0	1	1	1	-1	0	1	1	0	1	1	1	0	1	0	1	0	0	-1	-1	1	-1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	-1	1	1	1	1	-1	-1	1	0	0	1	0	1	-1	0	1	-1	0	1	1	0	2	0	0	0	1	0	0	1	-1	-1	1	1	0
SUPT16H	0	1	1	1	-1	1	-1	-1	-1	-1	-1	0	1	-1	-1	2	0	-1	1	1	1	0	0	0	-1	1	-1	1	1	1	0	-1	-1	-1	-1	-1	0	0	2	1	0	-1	1	0	1	-1	0	0	0	0	-1	-1	-1	0	1	1	-1	0	0	0	1	0	-1	0	-1	-1	1	1	0	0	0	2	-1	0	0	1	1	1	0	1	1	0	0	1	-1	0	0	1	1	1	1	0	1	-1	-1	1	1	1	0	0	-1	1	-1	-1	1	0	-1	-1	1	-1	0	0	0	1	1	1	1	0
ANXA10	1	0	1	1	1	1	-1	1	0	0	1	0	1	-1	1	1	-1	-1	-1	-2	-1	1	-1	-1	1	0	0	-1	0	0	0	-1	0	-2	-1	-1	-1	-1	1	0	0	1	-1	-1	-1	-1	-1	0	1	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	-1	-1	-1	0	1	-1	-1	0	-1	0	0	-1	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	-1	-2	-1	1	0	-1	-1	-1	-1	0	0	0	-1	0	-1	-1	1	1	-1	1	-1	-1	-1	-1	-1	1	0	-1	-1	1
CHEK2	0	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	0	1	0	1	0	0	0	1	1	0	1	1	1	-1	0	1	-1	0	-1	0	-1	-1	1	0	1	0	1	-1	-1	1	0	0	1	-1	0	1	2	-1	-1	1	-1	0	0	0	0	-1	1	1	1	1	1	-1	0	0	1	0	1	-1	-1	-1	-1	0	1	-1	-1	0	-1	1	1	0	-1	0	0	1	-1	-1	-1	-1	1	0	0	0	-1	1	1	-1	0	0	1	-1	0	1	1	1	-1	0	0	0	-1	1	-1	1	1	-1	1	0
POLI	1	-1	-1	1	-1	-1	1	0	-1	-1	1	1	0	0	0	1	-1	-1	-2	-1	0	0	1	-1	-1	0	-1	0	1	1	-1	-1	-1	1	-1	-1	0	-1	0	-1	-1	-1	1	0	1	1	-1	-1	-1	0	0	1	-1	1	-1	0	1	-1	-1	1	0	0	-1	1	1	-1	1	0	-1	-1	-2	-1	-1	0	1	-1	0	-1	0	-1	-1	0	-1	-1	-1	-1	0	0	1	0	-2	-1	-1	1	-1	-1	-1	1	-1	1	0	0	-1	-1	0	0	-1	1	-1	-1	-1	0	-1	0	-1	1	-1	1
KLK8	0	1	-1	1	1	-1	-1	1	-1	1	1	0	1	0	-1	-1	1	0	1	1	-1	0	-1	1	-1	0	0	1	1	1	-1	-1	-1	1	-1	1	1	1	2	0	1	-1	1	1	1	-1	1	-1	1	1	1	0	1	1	1	0	1	1	1	1	-1	0	2	0	1	1	0	1	1	0	-1	0	-1	0	1	-1	-1	0	1	0	1	0	0	1	-1	1	1	0	1	-1	1	-1	1	0	1	-1	1	1	0	1	-1	0	-1	1	0	0	-1	-1	1	0	0	-1	1	-1	0	0	1	-1
MST1P2	-2	-1	0	-1	0	0	-1	1	-1	1	0	-1	0	0	1	-1	-1	-1	-1	0	1	0	-1	-1	-1	0	0	0	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	1	-1	-1	-1	0	-1	-2	0	-1	1	1	0	0	-1	0	-1	-1	0	0	-1	-1	-2	1	-1	-1	0	1	-1	-1	0	-1	-1	-1	0	-1	0	1	-1	-1	0	-1	-2	1	-1	-1	1	0	-1	1	1	-1	-1	0	0	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1
FZD10	0	-1	0	-1	0	-1	0	0	0	1	1	1	-1	0	1	-1	0	0	-1	0	-1	1	-1	1	-1	1	1	0	1	0	-1	1	1	1	-1	1	1	1	-1	0	-1	1	0	0	-1	0	0	-1	0	1	0	0	-1	0	1	1	1	0	-1	0	-1	1	0	0	1	0	1	0	-1	-1	1	-1	1	2	1	1	1	0	1	-1	0	0	1	0	-1	1	1	1	1	-1	-1	1	-1	-1	1	0	-1	-1	0	1	-1	0	1	-1	0	0	0	0	1	0	1	-1	1	-1	-1	0	1	0
PROSC	1	-1	-1	1	1	1	1	0	-1	2	1	0	0	2	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	1	-1	0	-1	-1	-1	0	0	1	1	2	-2	1	-1	-1	1	1	1	-1	1	1	-1	-1	-1	1	0	-1	1	1	0	-1	0	-1	2	0	1	-1	2	2	1	1	-1	-1	2	2	-1	-1	2	0	0	1	0	-1	-1	-1	2	0	-1	2	1	1	0	1	-1	-1	-1	2	1	2	-1	1	-1	0	0	-1	1	0	-1	2	1	1	-1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1
IRAK3	-1	-1	0	1	0	1	0	0	-1	1	1	1	-1	-1	1	0	0	0	1	0	0	1	-1	1	-1	1	1	0	1	0	-1	-1	1	1	0	1	1	1	-1	0	1	1	0	1	1	1	0	1	0	1	0	0	-1	-1	1	-1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	-1	1	1	1	1	-1	-1	1	0	0	1	0	1	-1	0	1	-1	0	1	1	0	0	0	0	0	1	0	0	1	-1	-1	1	1	0
AKAP13	0	-1	-1	-1	-1	-1	-1	0	1	1	-1	-1	-1	0	-1	0	-1	1	1	-1	-1	-1	0	1	-1	-1	-1	0	0	-1	1	-2	1	1	-1	0	-1	1	1	-1	0	1	0	0	1	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	1	0	1	0	0	-1	-1	0	0	0	0	0	1	1	-1	-1	1	0	-1	1	-1	0	1	1	1	0	1	0	-1	1	1	0	-1	0	1	-1	-1	1	1	1	-1	0	0	0	0	-1	1	0	1	1	-1	1	-1	-1	0	-1	1	0	1	-1	1	-1
AKAP11	1	-1	-1	-2	-1	-1	0	-1	1	-1	-1	1	-1	0	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	0	-1	1	0	1	-1	0	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-2	-1	-2	-1	-1	-1	-1	-1	0	-2	-1	-1	1	0	1	-1	-1	-1	-1	0	1	0	-1	-1	1	-1	-1	-1	0	-1	-1	1	-1	0	-1	1	-1	-1	-1	-1	0	0	1	1	-1	-1	-1	1	2	1	0	-1	-1
AKAP10	1	-1	-1	-1	0	1	1	1	-1	-1	0	1	0	-1	-1	1	0	0	-1	-1	1	-1	1	-1	-1	1	0	1	1	-1	-1	-1	0	-1	1	0	-1	-1	-1	-1	0	-1	0	-1	-1	-1	0	1	-1	-1	1	-1	-1	1	-1	1	0	0	0	-1	1	-1	-1	0	-1	-1	1	-2	-1	1	0	-1	-1	-2	-1	1	0	0	-1	0	-1	1	-1	-1	-1	-1	-1	0	1	0	-1	-1	-1	-2	-1	1	0	-1	0	-1	-1	0	-1	0	-1	1	1	1	0	1	-1	-1	1	-1	1	1	1	-1
AKAP2	0	1	0	-1	1	1	1	-1	0	-1	1	1	0	0	1	0	0	-1	-1	-1	0	0	0	-1	0	0	0	1	-1	1	-1	0	0	-1	0	-1	1	-1	2	0	-1	-1	0	-1	1	-1	1	0	0	1	0	1	-1	0	-1	0	1	-1	-1	-1	-1	0	-1	-1	-1	1	0	1	-1	-1	-1	-1	1	0	0	1	0	-1	1	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	1	-1	0	1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	0	0	1	-1	1	1	1	0	-1	-1	0	-1	-1
DDX20	0	2	0	-1	0	0	0	-1	0	1	1	1	-1	0	1	1	-1	0	1	-2	1	0	-1	-2	-1	-1	0	0	0	-1	1	-1	-1	-1	1	-1	0	1	0	1	-1	0	-1	-1	-2	-1	-1	0	0	-1	-1	2	1	-1	0	-1	0	-1	-1	0	-1	-2	1	-1	1	-1	0	0	0	0	-1	0	-1	0	1	-1	-1	0	0	-2	0	-1	0	-1	0	0	-1	0	1	-1	1	-1	-1	-1	1	-1	1	-1	0	-1	0	1	-1	-1	0	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1
DUSP10	-1	1	1	-1	-1	-1	0	1	1	1	1	2	-1	0	-1	-1	1	0	1	1	1	1	-1	1	1	-1	0	0	1	-1	1	0	1	-1	1	1	1	1	-1	1	-1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	-1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	1	-1	0	1	2	1	-1	1	0	1	-1	1	1	0	2	0	0	1	1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	1	-1
MRPL3	-1	1	1	1	1	-1	1	-1	-1	0	0	-1	-1	1	0	1	0	0	1	1	1	0	-1	1	-1	1	1	1	-1	-1	-1	1	0	-1	-1	1	-1	1	2	-1	1	-1	0	2	0	1	-1	-1	0	-1	0	1	-1	1	1	1	0	1	1	1	1	1	1	0	1	-1	2	2	0	0	0	0	1	0	-1	1	-1	0	0	-1	1	0	1	0	1	1	0	1	1	-1	1	1	1	0	-1	1	-1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	-1	0	1	1	1
MST1P9	-2	-1	0	-1	0	0	-1	1	-1	1	0	-1	0	0	1	-1	-1	-1	-1	0	1	0	-1	-1	-1	0	0	0	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	1	-1	-1	-1	0	-1	-2	0	-1	1	1	0	0	-1	0	-1	-1	0	0	-1	-1	-2	1	-1	-1	0	1	-1	-1	0	-1	-1	-1	0	-1	0	1	-1	-1	0	-1	-2	1	-1	-1	1	0	-1	1	1	-1	-1	0	0	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1
